size_mb,gc,x_organism_name,organism_groups,domain,kingdom,class,group,bio_sample,assembly
990.915,38.3,Strongylocentrotus purpuratus,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,SAMN00829422,GCA_000002235.3
10.9121,44.3,Lachancea waltii NCYC 2644,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953599,GCA_000167115.1
27.0134,46.6,Coccidioides posadasii C735 delta SOWgp,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953748,GCA_000151335.1
394.455,36.6,Lotus japonicus,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMD00011082,GCA_000181115.2
417.287,34.1276,Populus trichocarpa,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02953657,GCA_000002775.2
709.345,44.1611,Sorghum bicolor,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02953738,GCA_000003195.3
1995.61,45.6584,Ornithorhynchus anatinus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953646,GCF_000002275.2
1230.26,42.9197,Gallus gallus,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMN02981218,GCA_000002315.3
1225.04,41.3,Struthio camelus australis,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMN02316164,GCA_000698965.1
1364.95,43.6,Ciconia boyciana,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMD00050841,GCA_002002965.1
1171.97,41.8,Falco peregrinus,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMN02981425,GCA_000337955.1
2506.97,42,Equus caballus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953672,GCA_002863925.1
446.611,44.6,Gasterosteus aculeatus,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMN02981227,GCA_000180675.1
120.405,61.9512,Chlamydomonas reinhardtii,Eukaryota;Plants;Green Algae,Eukaryota,Plants,Green Algae,eukaryotes,SAMN02953692,GCA_000002595.2
165.71,42.3955,Drosophila yakuba,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02952910,GCA_000005975.1
1128.34,41.7219,Meleagris gallopavo,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMN02981253,GCA_000146605.3
927.657,41.3684,Coturnix japonica,Eukaryota;Animals;Birds,Eukaryota,Animals,Birds,eukaryotes,SAMN03989050,GCA_001577835.1
342.403,46.6,Tetraodon nigroviridis,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMEA3138311,GCA_000180735.1
12.3383,38.6198,[Candida] glabrata,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138172,GCA_000002545.2
20.5509,48.9801,Yarrowia lipolytica CLIB122,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138171,GCA_000002525.1
10.7294,38.7053,Kluyveromyces lactis,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138170,GCA_000002515.1
12.1819,36.3369,Debaryomyces hansenii CBS767,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138183,GCA_000006445.2
1009.86,40.7671,Oreochromis niloticus,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMN05859795,GCA_001858045.2
783.275,39.8391,Ictalurus punctatus,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMN03486842,GCA_001660625.1
2179,43.4875,Oncorhynchus mykiss,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMN05449231,GCA_002163495.1
124.964,42.9696,Drosophila simulans,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN01086904,GCA_000754195.3
3231.17,41.0646,Pan troglodytes,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02981217,GCA_000001515.5
976.191,37.4074,Brassica napus,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02742820,GCA_000686985.2
12.8368,34.9,Kazachstania servazzii,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN07251616,GCA_002214935.1
9.76464,39.1509,Zygosaccharomyces rouxii,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138235,GCA_000026365.1
10.3929,47.2838,Lachancea thermotolerans CBS 6340,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138300,GCA_000142805.1
21.2555,41.1,Millerozyma farinosa,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN06289667,GCA_002196765.1
14.6301,33.2,Candida tropicalis MYA-3404,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953608,GCA_000006335.3
165.944,35.1887,Tribolium castaneum,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953634,GCA_000002335.3
152.696,45.3281,Drosophila pseudoobscura pseudoobscura,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN00779672,GCA_000001765.2
3598.44,38.1446,Monodelphis domestica,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953611,GCF_000002295.2
3236.22,41.2015,Macaca mulatta,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,,GCA_000772875.3
82.5976,54.4,Phytophthora sojae,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953656,GCA_000149755.2
3196.74,40.9,Loxodonta africana,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953622,GCA_000001905.1
66.6524,53,Phytophthora ramorum,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953655,GCA_000149735.1
566.55,37.305,Beta vulgaris subsp. vulgaris,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02182557,GCA_000511025.2
103.014,22.3,Tetrahymena thermophila SB210,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953617,GCA_000189635.1
284.129,35.826,Brassica rapa,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02981293,GCA_000309985.1
356.614,41.9,Nematostella vectensis,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,SAMN02953687,GCA_000209225.1
2723.22,40.1,Cavia porcellus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02981223,GCA_000151735.1
942.042,29.7,Schmidtea mediterranea,Eukaryota;Animals;Flatworms,Eukaryota,Animals,Flatworms,eukaryotes,SAMN06660624,GCA_002600895.1
3075.18,40.4,Notamacropus eugenii,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,,GCA_000004035.1
2947.02,43.6,Echinops telfairi,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN00216137,GCA_000313985.1
3631.52,41.5,Dasypus novemcinctus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953623,GCA_000208655.2
364.538,35.2769,Schistosoma mansoni,Eukaryota;Animals;Flatworms,Eukaryota,Animals,Flatworms,eukaryotes,SAMEA2272516,GCA_000237925.2
402.743,35.2,Schistosoma japonicum,Eukaryota;Animals;Flatworms,Eukaryota,Animals,Flatworms,eukaryotes,SAMEA2272175,GCA_000151775.1
63.5254,35.1,Trichinella spiralis,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02953711,GCA_000181795.2
2423.16,43.4,Sorex araneus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN00210854,GCA_000181275.2
2715.72,42.4999,Erinaceus europaeus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN00760989,GCA_000296755.1
33.0303,46.3,Histoplasma capsulatum NAm1,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953633,GCA_000149585.1
20.5017,19.8559,Plasmodium reichenowi,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN04053640,GCA_001601855.1
154.958,42.8,Pristionchus pacificus,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02953718,GCA_000180635.3
57.5474,54.8511,Neospora caninum Liverpool,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA2272006,GCA_000208865.2
32.1221,59.5663,Leishmania infantum JPCM5,Eukaryota;Protists;Kinetoplasts,Eukaryota,Protists,Kinetoplasts,eukaryotes,SAMEA3138175,GCA_000002875.2
152.712,42.6,Drosophila erecta,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953649,GCA_000005135.1
235.516,37.8,Drosophila willistoni,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953653,GCA_000005925.1
166.256,39.9,Caenorhabditis japonica,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02953724,GCA_000147155.1
145.443,38.5,Caenorhabditis remanei,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN00627085,GCA_000149515.1
1275.11,44.3,Fasciola hepatica,Eukaryota;Animals;Flatworms,Eukaryota,Animals,Flatworms,eukaryotes,SAMEA2629804,GCA_000947175.1
230.993,42.5,Drosophila ananassae,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953648,GCA_000005115.1
190.37,39.7,Caenorhabditis brenneri,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02953693,GCA_000143925.2
66.6087,37.1,Blastomyces dermatitidis ER-3,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953741,GCA_000003525.2
200.468,38.8,Drosophila grimshawi,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953650,GCA_000005155.1
176.42,32.9,Trichomonas vaginalis G3,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953626,GCA_000002825.1
193.826,40.2,Drosophila mojavensis,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953651,GCA_000005175.1
53.013,27.4,Meloidogyne hapla,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02743742,GCA_000172435.1
206.027,40.7,Drosophila virilis,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953641,GCA_000005245.1
40.9641,35,Naegleria gruberi,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953745,GCA_000004985.1
188.374,45.2,Drosophila persimilis,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953632,GCA_000005195.1
205.176,41.9,Physarum polycephalum,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02839457,GCA_000413255.3
166.592,42.4982,Drosophila sechellia,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02953639,GCA_000005215.1
72.0945,28.2,Paramecium tetraurelia,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMEA3138302,GCA_000165425.1
10.61,43.8,Meyerozyma guilliermondii ATCC 6260,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953607,GCA_000149425.1
42.0198,57.8,Acanthamoeba castellanii str. Neff,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953809,GCA_000313135.1
86.6051,47.4,Perkinsus marinus ATCC 50983,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953677,GCA_000006405.1
12.1149,44.5,Clavispora lusitaniae ATCC 42720,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953613,GCA_000003835.1
197.206,42.4,Daphnia pulex,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,SAMN02744063,GCA_000187875.1
228.544,50.6,Phytophthora infestans T30-4,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953670,GCA_000142945.1
18.8172,45.3,Blastocystis hominis,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMEA2272370,GCA_000151665.1
34.8869,55.4,Chaetomium globosum CBS 148.51,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953614,GCA_000143365.1
41.1958,50.3,Euglena gracilis var. bacillaris,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN04038451,GCA_001638955.1
2737.46,44.0526,Oryctolagus cuniculus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953624,GCA_000003625.1
29.016,46,Coccidioides immitis RS,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953601,GCA_000149335.2
15.5473,37,Lodderomyces elongisporus NRRL YB-4239,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953647,GCA_000149685.1
33.3957,52.8,Trichoderma reesei QM6a,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02746107,GCA_000167675.2
39.0638,35.4,Rhizopus oryzae 99-892,Eukaryota;Fungi;Other Fungi,Eukaryota,Fungi,Other Fungi,eukaryotes,SAMN02352643,GCA_000697725.1
22.3497,48.6,Uncinocarpus reesii 1704,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953631,GCA_000003515.2
3441.24,41.5894,Pongo abelii,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02981238,GCF_000001545.4
57.0606,60.5,Allomyces macrogynus ATCC 38327,Eukaryota;Fungi;Other Fungi,Eukaryota,Fungi,Other Fungi,eukaryotes,SAMN02953744,GCA_000151295.1
48.8,15.95,Ichthyophthirius multifiliis,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953779,GCA_000220395.1
